name,level,cmd_type

tick,core,default
terminate,core,default
panic,core,default
reboot,core,default
pause,core,default

go,system,default
mount,system,default
unmount,system,default
run,system,default
find,system,default
create,system,default
delete,system,default
embrc,system,default
disown,system,default
ipinfo,system,default
edit,system,default
login,system,default
logout,system,default
help,system,default
clear,system,default
see,system,default
sysinfo,system,default

diskmgr,sysapp,default
apedit,sysapp,default
python,sysapp,default
lua,sysapp,default
rpsgame,sysapp,default
datapoopgame,sysapp,default


